Row ID,Order ID,Order Date,Product ID,Sales,Customer ID,Customer Name,Region,Category
22,CA-2016-137330,12/09/16,OFF-AR-10000246,19.46,KB-16585,Ken Black,Central,Office Supplies
23,CA-2016-137330,12/09/16,OFF-AP-10001492,60.34,KB-16585,Ken Black,Central,Office Supplies
24,US-2017-156909,07/16/17,FUR-CH-10002774,71.372,SF-20065,Sandra Flanagan,East,Furniture
25,CA-2015-106320,09/25/15,FUR-TA-10000577,1044.63,EB-13870,Emily Burns,West,Furniture
26,CA-2016-121755,01/16/16,OFF-BI-10001634,11.648,EH-13945,Eric Hoffmann,West,Office Supplies
27,CA-2016-121755,01/16/16,TEC-AC-10003027,90.57,EH-13945,Eric Hoffmann,West,Technology
28,US-2015-150630,09/17/15,FUR-BO-10004834,3083.43,TB-21520,Tracy Blumstein,East,Furniture
29,US-2015-150630,09/17/15,OFF-BI-10000474,9.618,TB-21520,Tracy Blumstein,East,Office Supplies
30,US-2015-150630,09/17/15,FUR-FU-10004848,124.2,TB-21520,Tracy Blumstein,East,Furniture
31,US-2015-150630,09/17/15,OFF-EN-10001509,3.264,TB-21520,Tracy Blumstein,East,Office Supplies
32,US-2015-150630,09/17/15,OFF-AR-10004042,86.304,TB-21520,Tracy Blumstein,East,Office Supplies
33,US-2015-150630,09/17/15,OFF-BI-10001525,6.858,TB-21520,Tracy Blumstein,East,Office Supplies
34,US-2015-150630,09/17/15,OFF-AR-10001683,15.76,TB-21520,Tracy Blumstein,East,Office Supplies
35,CA-2017-107727,10/19/17,OFF-PA-10000249,29.472,MA-17560,Matt Abelman,Central,Office Supplies
36,CA-2016-117590,12/08/16,TEC-PH-10004977,1097.544,GH-14485,Gene Hale,Central,Technology
37,CA-2016-117590,12/08/16,FUR-FU-10003664,190.92,GH-14485,Gene Hale,Central,Furniture
38,CA-2015-117415,12/27/15,OFF-EN-10002986,113.328,SN-20710,Steve Nguyen,Central,Office Supplies
39,CA-2015-117415,12/27/15,FUR-BO-10002545,532.3992,SN-20710,Steve Nguyen,Central,Furniture
40,CA-2015-117415,12/27/15,FUR-CH-10004218,212.058,SN-20710,Steve Nguyen,Central,Furniture
41,CA-2015-117415,12/27/15,TEC-PH-10000486,371.168,SN-20710,Steve Nguyen,Central,Technology
42,CA-2017-120999,09/10/17,TEC-PH-10004093,147.168,LC-16930,Linda Cazamias,Central,Technology
43,CA-2016-101343,07/17/16,OFF-ST-10003479,77.88,RA-19885,Ruben Ausman,West,Office Supplies
44,CA-2017-139619,09/19/17,OFF-ST-10003282,95.616,ES-14080,Erin Smith,South,Office Supplies
45,CA-2016-118255,03/11/16,TEC-AC-10000171,45.98,ON-18715,Odella Nelson,Central,Technology
46,CA-2016-118255,03/11/16,OFF-BI-10003291,17.46,ON-18715,Odella Nelson,Central,Office Supplies
47,CA-2014-146703,10/20/14,OFF-ST-10001713,211.96,PO-18865,Patrick O'Donnell,Central,Office Supplies
48,CA-2016-169194,06/20/16,TEC-AC-10002167,45,LH-16900,Lena Hernandez,East,Technology
49,CA-2016-169194,06/20/16,TEC-PH-10003988,21.8,LH-16900,Lena Hernandez,East,Technology
50,CA-2015-115742,04/18/15,OFF-BI-10004410,38.22,DP-13000,Darren Powers,Central,Office Supplies
51,CA-2015-115742,04/18/15,OFF-LA-10002762,75.18,DP-13000,Darren Powers,Central,Office Supplies
52,CA-2015-115742,04/18/15,FUR-FU-10001706,6.16,DP-13000,Darren Powers,Central,Furniture
53,CA-2015-115742,04/18/15,FUR-CH-10003061,89.99,DP-13000,Darren Powers,Central,Furniture
54,CA-2016-105816,12/11/16,OFF-FA-10000304,15.26,JM-15265,Janet Molinari,East,Office Supplies
55,CA-2016-105816,12/11/16,TEC-PH-10002447,1029.95,JM-15265,Janet Molinari,East,Technology
56,CA-2016-111682,06/17/16,OFF-ST-10000604,208.56,TB-21055,Ted Butterfield,East,Office Supplies
57,CA-2016-111682,06/17/16,OFF-PA-10001569,32.4,TB-21055,Ted Butterfield,East,Office Supplies
58,CA-2016-111682,06/17/16,FUR-CH-10003968,319.41,TB-21055,Ted Butterfield,East,Furniture
59,CA-2016-111682,06/17/16,OFF-PA-10000587,14.56,TB-21055,Ted Butterfield,East,Office Supplies
60,CA-2016-111682,06/17/16,TEC-AC-10002167,30,TB-21055,Ted Butterfield,East,Technology
61,CA-2016-111682,06/17/16,OFF-BI-10001460,48.48,TB-21055,Ted Butterfield,East,Office Supplies
62,CA-2016-111682,06/17/16,OFF-AR-10001868,1.68,TB-21055,Ted Butterfield,East,Office Supplies
63,CA-2015-135545,11/24/15,TEC-AC-10004633,13.98,KM-16720,Kunst Miller,West,Technology
64,CA-2015-135545,11/24/15,OFF-BI-10001078,25.824,KM-16720,Kunst Miller,West,Office Supplies
65,CA-2015-135545,11/24/15,OFF-PA-10003892,146.73,KM-16720,Kunst Miller,West,Office Supplies
66,CA-2015-135545,11/24/15,FUR-FU-10000397,79.76,KM-16720,Kunst Miller,West,Furniture
67,US-2015-164175,04/30/15,FUR-CH-10001146,213.115,PS-18970,Paul Stevenson,Central,Furniture
68,CA-2014-106376,12/05/14,OFF-AR-10002671,1113.024,BS-11590,Brendan Sweed,West,Office Supplies
69,CA-2014-106376,12/05/14,TEC-PH-10002726,167.968,BS-11590,Brendan Sweed,West,Technology
70,CA-2016-119823,06/04/16,OFF-PA-10000482,75.88,KD-16270,Karen Daniels,South,Office Supplies
71,CA-2016-106075,09/18/16,OFF-BI-10004654,4.616,HM-14980,Henry MacAllister,East,Office Supplies
72,CA-2017-114440,09/14/17,OFF-PA-10004675,19.05,TB-21520,Tracy Blumstein,Central,Office Supplies
73,US-2015-134026,04/26/15,FUR-CH-10000513,831.936,JE-15745,Joel Eaton,South,Furniture
74,US-2015-134026,04/26/15,FUR-FU-10003708,97.04,JE-15745,Joel Eaton,South,Furniture
75,US-2015-134026,04/26/15,OFF-ST-10004123,72.784,JE-15745,Joel Eaton,South,Office Supplies
76,US-2017-118038,12/09/17,OFF-BI-10004182,1.248,KB-16600,Ken Brennan,Central,Office Supplies
77,US-2017-118038,12/09/17,FUR-FU-10000260,9.708,KB-16600,Ken Brennan,Central,Furniture
78,US-2017-118038,12/09/17,OFF-ST-10000615,27.24,KB-16600,Ken Brennan,Central,Office Supplies
79,US-2014-147606,11/26/14,FUR-FU-10003194,19.3,JE-15745,Joel Eaton,Central,Furniture
80,CA-2016-127208,06/12/16,OFF-AP-10002118,208.16,SC-20770,Stewart Carmichael,South,Office Supplies
81,CA-2016-127208,06/12/16,OFF-BI-10002309,16.74,SC-20770,Stewart Carmichael,South,Office Supplies
82,CA-2014-139451,10/12/14,OFF-AR-10002053,14.9,DN-13690,Duane Noonan,West,Office Supplies
83,CA-2014-139451,10/12/14,OFF-ST-10002370,21.39,DN-13690,Duane Noonan,West,Office Supplies
84,CA-2015-149734,09/03/15,OFF-EN-10000927,200.984,JC-16105,Julie Creighton,South,Office Supplies
85,US-2017-119662,11/13/17,OFF-ST-10003656,230.376,CS-12400,Christopher Schild,Central,Office Supplies
86,CA-2017-140088,05/28/17,FUR-CH-10000863,301.96,PO-18865,Patrick O'Donnell,South,Furniture
87,CA-2017-155558,10/26/17,TEC-AC-10001998,19.99,PG-18895,Paul Gonzalez,Central,Technology
88,CA-2017-155558,10/26/17,OFF-LA-10000134,6.16,PG-18895,Paul Gonzalez,Central,Office Supplies
89,CA-2016-159695,04/05/16,OFF-ST-10003442,158.368,GM-14455,Gary Mitchum,Central,Office Supplies
90,CA-2016-109806,09/17/16,OFF-AR-10004930,20.1,JS-15685,Jim Sink,West,Office Supplies
91,CA-2016-109806,09/17/16,TEC-PH-10004093,73.584,JS-15685,Jim Sink,West,Technology
92,CA-2016-109806,09/17/16,OFF-PA-10000304,6.48,JS-15685,Jim Sink,West,Office Supplies
93,CA-2015-149587,01/31/15,OFF-PA-10003177,12.96,KB-16315,Karl Braun,Central,Office Supplies
94,CA-2015-149587,01/31/15,FUR-FU-10003799,53.34,KB-16315,Karl Braun,Central,Furniture
95,CA-2015-149587,01/31/15,OFF-BI-10002852,32.96,KB-16315,Karl Braun,Central,Office Supplies
96,US-2017-109484,11/06/17,OFF-BI-10004738,5.682,RB-19705,Roger Barcio,West,Office Supplies
97,CA-2017-161018,11/09/17,FUR-FU-10000629,96.53,PN-18775,Parhena Norris,East,Furniture
98,CA-2017-157833,06/17/17,OFF-BI-10001721,51.312,KD-16345,Katherine Ducich,West,Office Supplies
99,CA-2016-149223,09/06/16,OFF-AP-10000358,77.88,ER-13855,Elpida Rittenbach,Central,Office Supplies
100,CA-2016-158568,08/29/16,OFF-PA-10003256,64.624,RB-19465,Rick Bensley,Central,Office Supplies
101,CA-2016-158568,08/29/16,TEC-AC-10001767,95.976,RB-19465,Rick Bensley,Central,Technology
102,CA-2016-158568,08/29/16,OFF-BI-10002609,1.788,RB-19465,Rick Bensley,Central,Office Supplies
103,CA-2016-129903,12/01/16,OFF-PA-10004040,23.92,GZ-14470,Gary Zandusky,Central,Office Supplies
104,US-2015-156867,11/13/15,TEC-AC-10001552,238.896,LC-16870,Lena Cacioppo,West,Technology
105,US-2015-156867,11/13/15,FUR-FU-10004006,102.36,LC-16870,Lena Cacioppo,West,Furniture
106,US-2015-156867,11/13/15,OFF-BI-10002794,36.882,LC-16870,Lena Cacioppo,West,Office Supplies
107,CA-2017-119004,11/23/17,TEC-AC-10003499,74.112,JM-15250,Janet Martin,South,Technology
108,CA-2017-119004,11/23/17,TEC-PH-10002844,27.992,JM-15250,Janet Martin,South,Technology
109,CA-2017-119004,11/23/17,OFF-AR-10000390,3.304,JM-15250,Janet Martin,South,Office Supplies
110,CA-2015-129476,10/15/15,TEC-AC-10000844,339.96,PA-19060,Pete Armstrong,Central,Technology
111,CA-2017-146780,12/25/17,FUR-FU-10001934,41.96,CV-12805,Cynthia Voltz,East,Furniture
112,CA-2016-128867,11/03/16,OFF-AR-10000380,75.96,CL-12565,Clay Ludtke,Central,Office Supplies
113,CA-2016-128867,11/03/16,OFF-BI-10003981,27.24,CL-12565,Clay Ludtke,Central,Office Supplies
114,CA-2014-115259,08/25/14,OFF-FA-10000621,40.096,RC-19960,Ryan Crowe,East,Office Supplies
115,CA-2014-115259,08/25/14,OFF-EN-10002600,4.72,RC-19960,Ryan Crowe,East,Office Supplies
116,CA-2014-115259,08/25/14,OFF-PA-10004965,23.976,RC-19960,Ryan Crowe,East,Office Supplies
117,CA-2014-115259,08/25/14,OFF-EN-10002504,130.464,RC-19960,Ryan Crowe,East,Office Supplies
118,CA-2015-110457,03/02/15,FUR-TA-10001768,787.53,DK-13090,Dave Kipp,West,Furniture
119,US-2015-136476,04/05/15,OFF-BI-10003650,157.794,GG-14650,Greg Guthrie,South,Office Supplies
120,CA-2016-103730,06/12/16,FUR-FU-10002157,47.04,SC-20725,Steven Cartwright,East,Furniture
121,CA-2016-103730,06/12/16,OFF-BI-10003910,30.84,SC-20725,Steven Cartwright,East,Office Supplies
122,CA-2016-103730,06/12/16,OFF-ST-10000777,226.56,SC-20725,Steven Cartwright,East,Office Supplies
123,CA-2016-103730,06/12/16,OFF-EN-10002500,115.02,SC-20725,Steven Cartwright,East,Office Supplies
124,CA-2016-103730,06/12/16,TEC-PH-10003875,68.04,SC-20725,Steven Cartwright,East,Technology
125,US-2014-152030,12/26/14,FUR-CH-10004063,600.558,AD-10180,Alan Dominguez,Central,Furniture
126,US-2014-134614,09/20/14,FUR-TA-10004534,617.7,PF-19165,Philip Fox,Central,Furniture
127,US-2017-107272,11/05/17,OFF-BI-10003274,2.388,TS-21610,Troy Staebel,West,Office Supplies
128,US-2017-107272,11/05/17,OFF-ST-10002974,243.992,TS-21610,Troy Staebel,West,Office Supplies
129,US-2016-125969,11/06/16,FUR-CH-10001146,81.424,LS-16975,Lindsay Shagiari,West,Furniture
130,US-2016-125969,11/06/16,FUR-FU-10003773,238.56,LS-16975,Lindsay Shagiari,West,Furniture
131,US-2017-164147,02/02/17,TEC-PH-10002293,59.97,DW-13585,Dorothy Wardle,East,Technology
132,US-2017-164147,02/02/17,OFF-PA-10002377,78.304,DW-13585,Dorothy Wardle,East,Office Supplies
133,US-2017-164147,02/02/17,OFF-FA-10002780,21.456,DW-13585,Dorothy Wardle,East,Office Supplies
134,CA-2016-145583,10/13/16,OFF-PA-10001804,20.04,LC-16885,Lena Creighton,West,Office Supplies
135,CA-2016-145583,10/13/16,OFF-PA-10001736,35.44,LC-16885,Lena Creighton,West,Office Supplies
136,CA-2016-145583,10/13/16,OFF-AR-10001149,11.52,LC-16885,Lena Creighton,West,Office Supplies
137,CA-2016-145583,10/13/16,OFF-FA-10002988,4.02,LC-16885,Lena Creighton,West,Office Supplies
138,CA-2016-145583,10/13/16,OFF-BI-10004781,76.176,LC-16885,Lena Creighton,West,Office Supplies
139,CA-2016-145583,10/13/16,OFF-SU-10001218,65.88,LC-16885,Lena Creighton,West,Office Supplies
140,CA-2016-145583,10/13/16,FUR-FU-10001706,43.12,LC-16885,Lena Creighton,West,Furniture
141,CA-2016-110366,09/05/16,FUR-FU-10004848,82.8,JD-15895,Jonathan Doherty,East,Furniture
142,CA-2017-106180,09/18/17,OFF-AR-10000940,8.82,SH-19975,Sally Hughsby,West,Office Supplies
143,CA-2017-106180,09/18/17,OFF-EN-10004030,10.86,SH-19975,Sally Hughsby,West,Office Supplies
144,CA-2017-106180,09/18/17,OFF-PA-10004327,143.7,SH-19975,Sally Hughsby,West,Office Supplies
145,CA-2017-155376,12/22/17,OFF-AP-10001058,839.43,SG-20080,Sandra Glassco,Central,Office Supplies
146,CA-2015-110744,09/07/15,OFF-ST-10003656,671.93,HA-14920,Helen Andreada,West,Office Supplies
147,CA-2014-110072,10/22/14,FUR-FU-10000521,93.888,MG-17680,Maureen Gastineau,East,Furniture
148,CA-2016-114489,12/05/16,TEC-PH-10000215,384.45,JE-16165,Justin Ellison,Central,Technology
149,CA-2016-114489,12/05/16,TEC-PH-10001448,149.97,JE-16165,Justin Ellison,Central,Technology
150,CA-2016-114489,12/05/16,FUR-CH-10000454,1951.84,JE-16165,Justin Ellison,Central,Furniture
151,CA-2016-114489,12/05/16,OFF-BI-10002735,171.55,JE-16165,Justin Ellison,Central,Office Supplies
152,CA-2016-158834,03/13/16,OFF-AP-10000326,157.92,TW-21025,Tamara Willingham,West,Office Supplies
153,CA-2016-158834,03/13/16,TEC-PH-10001254,203.184,TW-21025,Tamara Willingham,West,Technology
154,CA-2015-124919,05/31/15,OFF-PA-10001950,58.38,SP-20650,Stephanie Phelps,West,Office Supplies
155,CA-2015-124919,05/31/15,OFF-PA-10002254,105.52,SP-20650,Stephanie Phelps,West,Office Supplies
156,CA-2015-124919,05/31/15,OFF-ST-10001590,80.88,SP-20650,Stephanie Phelps,West,Office Supplies
157,CA-2015-118948,05/28/15,OFF-AR-10001547,6.63,NK-18490,Neil Knudson,West,Office Supplies
158,CA-2014-104269,03/01/14,FUR-CH-10004063,457.568,DB-13060,Dave Brooks,West,Furniture
159,CA-2016-114104,11/20/16,OFF-LA-10002475,14.62,NP-18670,Nora Paige,Central,Office Supplies
160,CA-2016-114104,11/20/16,TEC-PH-10004536,944.93,NP-18670,Nora Paige,Central,Technology
161,CA-2016-162733,05/11/16,OFF-PA-10002751,5.98,TT-21070,Ted Trevino,West,Office Supplies
162,CA-2015-119697,12/28/15,TEC-AC-10003657,54.384,EM-13960,Eric Murdock,East,Technology
163,CA-2016-154508,11/16/16,OFF-EN-10001990,28.4,RD-19900,Ruben Dartt,West,Office Supplies
164,CA-2016-113817,11/07/16,OFF-BI-10004002,27.68,MJ-17740,Max Jones,West,Office Supplies
165,CA-2014-139892,09/08/14,OFF-AR-10004441,9.936,BM-11140,Becky Martin,Central,Office Supplies
166,CA-2014-139892,09/08/14,TEC-MA-10000822,8159.952,BM-11140,Becky Martin,Central,Technology
167,CA-2014-139892,09/08/14,OFF-ST-10000991,275.928,BM-11140,Becky Martin,Central,Office Supplies
168,CA-2014-139892,09/08/14,FUR-CH-10004287,1740.06,BM-11140,Becky Martin,Central,Furniture
169,CA-2014-139892,09/08/14,OFF-AR-10002656,32.064,BM-11140,Becky Martin,Central,Office Supplies
170,CA-2014-139892,09/08/14,OFF-AP-10002518,177.98,BM-11140,Becky Martin,Central,Office Supplies
171,CA-2014-139892,09/08/14,TEC-PH-10003931,143.976,BM-11140,Becky Martin,Central,Technology
172,CA-2014-118962,08/05/14,OFF-PA-10000659,20.94,CS-12130,Chad Sievert,West,Office Supplies
173,CA-2014-118962,08/05/14,OFF-PA-10001144,110.96,CS-12130,Chad Sievert,West,Office Supplies
174,CA-2014-118962,08/05/14,FUR-CH-10003817,340.144,CS-12130,Chad Sievert,West,Furniture
175,US-2014-100853,09/14/14,OFF-AP-10000891,52.448,JB-15400,Jennifer Braxton,Central,Office Supplies
176,US-2014-100853,09/14/14,OFF-LA-10003148,20.16,JB-15400,Jennifer Braxton,Central,Office Supplies
177,US-2017-152366,04/21/17,OFF-AP-10002684,97.264,SJ-20500,Shirley Jackson,Central,Office Supplies
178,US-2015-101511,11/21/15,FUR-CH-10004698,396.802,JE-15745,Joel Eaton,East,Furniture
179,US-2015-101511,11/21/15,OFF-SU-10002189,15.88,JE-15745,Joel Eaton,East,Office Supplies
180,CA-2015-137225,12/15/15,OFF-AR-10001940,3.28,JK-15640,Jim Kriz,East,Office Supplies
181,CA-2014-166191,12/05/14,OFF-ST-10003455,24.816,DK-13150,David Kendrick,Central,Office Supplies
182,CA-2014-166191,12/05/14,TEC-AC-10004659,408.744,DK-13150,David Kendrick,Central,Technology
183,CA-2014-158274,11/19/14,TEC-PH-10003273,503.96,RM-19675,Robert Marley,South,Technology
184,CA-2014-158274,11/19/14,TEC-PH-10004896,149.95,RM-19675,Robert Marley,South,Technology
185,CA-2014-158274,11/19/14,TEC-AC-10002345,29,RM-19675,Robert Marley,South,Technology
186,CA-2016-105018,11/28/16,OFF-BI-10001890,7.16,SK-19990,Sally Knutson,East,Office Supplies
187,CA-2014-123260,08/26/14,TEC-AC-10002323,176.8,FM-14290,Frank Merwin,West,Technology
188,CA-2016-157000,07/16/16,OFF-ST-10001328,37.224,AM-10360,Alice McCarthy,Central,Office Supplies
189,CA-2016-157000,07/16/16,OFF-PA-10001950,20.016,AM-10360,Alice McCarthy,Central,Office Supplies
190,CA-2015-102281,10/12/15,FUR-BO-10002613,899.136,MP-17470,Mark Packer,East,Furniture
191,CA-2015-102281,10/12/15,TEC-PH-10001552,71.76,MP-17470,Mark Packer,East,Technology
192,CA-2015-102281,10/12/15,OFF-PA-10000061,51.84,MP-17470,Mark Packer,East,Office Supplies
193,CA-2015-102281,10/12/15,FUR-BO-10002545,626.352,MP-17470,Mark Packer,East,Furniture
194,CA-2015-102281,10/12/15,OFF-AR-10003514,19.9,MP-17470,Mark Packer,East,Office Supplies
195,CA-2015-131457,10/31/15,OFF-EN-10001509,14.28,MZ-17515,Mary Zewe,West,Office Supplies
196,CA-2014-140004,03/21/14,OFF-AR-10004685,7.408,CB-12025,Cassandra Brandow,East,Office Supplies
197,CA-2014-140004,03/21/14,OFF-AR-10004027,6.048,CB-12025,Cassandra Brandow,East,Office Supplies
198,CA-2017-107720,11/06/17,OFF-ST-10001414,46.26,VM-21685,Valerie Mitchum,East,Office Supplies
199,US-2017-124303,07/06/17,OFF-BI-10000343,2.946,FH-14365,Fred Hopkins,East,Office Supplies
200,US-2017-124303,07/06/17,OFF-PA-10002749,16.056,FH-14365,Fred Hopkins,East,Office Supplies
201,CA-2017-105074,06/24/17,OFF-PA-10002666,21.744,MB-17305,Maria Bertelson,East,Office Supplies
202,CA-2014-133690,08/03/14,FUR-TA-10004289,218.75,BS-11755,Bruce Stewart,West,Furniture
203,CA-2014-133690,08/03/14,OFF-AP-10003622,2.6,BS-11755,Bruce Stewart,West,Office Supplies
204,US-2017-116701,12/17/17,OFF-AP-10003217,66.284,LC-17140,Logan Currie,Central,Office Supplies
205,CA-2017-126382,06/03/17,FUR-FU-10002960,35.168,HK-14890,Heather Kirkland,South,Furniture
206,CA-2017-108329,12/09/17,TEC-PH-10001918,444.768,LE-16810,Laurel Elliston,West,Technology
207,CA-2017-135860,12/01/17,OFF-ST-10000642,83.92,JH-15985,Joseph Holt,Central,Office Supplies
208,CA-2017-135860,12/01/17,TEC-PH-10001700,131.98,JH-15985,Joseph Holt,Central,Technology
209,CA-2017-135860,12/01/17,OFF-BI-10003274,15.92,JH-15985,Joseph Holt,Central,Office Supplies
210,CA-2017-135860,12/01/17,OFF-FA-10000134,52.29,JH-15985,Joseph Holt,Central,Office Supplies
211,CA-2017-135860,12/01/17,OFF-ST-10001522,91.99,JH-15985,Joseph Holt,Central,Office Supplies
212,CA-2015-101007,02/09/15,TEC-AC-10001266,20.8,MS-17980,Michael Stewart,Central,Technology
213,CA-2015-146262,01/02/15,OFF-LA-10004544,23.68,VW-21775,Victoria Wilson,East,Office Supplies
214,CA-2015-146262,01/02/15,FUR-BO-10004695,452.45,VW-21775,Victoria Wilson,East,Furniture
215,CA-2015-146262,01/02/15,TEC-PH-10002844,62.982,VW-21775,Victoria Wilson,East,Technology
216,CA-2015-146262,01/02/15,TEC-MA-10000864,1188,VW-21775,Victoria Wilson,East,Technology
217,CA-2015-146262,01/02/15,TEC-AC-10000109,89.584,VW-21775,Victoria Wilson,East,Technology
218,CA-2016-130162,10/28/16,OFF-ST-10001328,93.06,JH-15910,Jonathan Howell,West,Office Supplies
219,CA-2016-130162,10/28/16,TEC-PH-10002563,302.376,JH-15910,Jonathan Howell,West,Technology
220,CA-2015-169397,12/24/15,OFF-FA-10000585,5.584,JB-15925,Joni Blumstein,East,Office Supplies
221,CA-2015-169397,12/24/15,OFF-PA-10004000,22.704,JB-15925,Joni Blumstein,East,Office Supplies
222,CA-2015-169397,12/24/15,OFF-BI-10002852,19.776,JB-15925,Joni Blumstein,East,Office Supplies
223,CA-2015-169397,12/24/15,FUR-FU-10000087,72.704,JB-15925,Joni Blumstein,East,Furniture
224,CA-2015-169397,12/24/15,TEC-MA-10001148,479.988,JB-15925,Joni Blumstein,East,Technology
225,CA-2015-169397,12/24/15,OFF-AR-10001958,27.168,JB-15925,Joni Blumstein,East,Office Supplies
226,CA-2015-163055,08/09/15,OFF-AR-10001026,2.2,DS-13180,David Smith,Central,Office Supplies
227,CA-2015-163055,08/09/15,FUR-TA-10003748,622.45,DS-13180,David Smith,Central,Furniture
228,CA-2015-163055,08/09/15,OFF-ST-10002485,21.98,DS-13180,David Smith,Central,Office Supplies
229,US-2015-145436,02/28/15,FUR-CH-10004860,161.568,VD-21670,Valerie Dominguez,South,Furniture
230,US-2015-145436,02/28/15,FUR-CH-10004477,389.696,VD-21670,Valerie Dominguez,South,Furniture
231,US-2014-156216,09/13/14,OFF-BI-10001679,18.648,EA-14035,Erin Ashbrook,South,Office Supplies
232,US-2017-100930,04/07/17,FUR-TA-10001705,233.86,CS-12400,Christopher Schild,South,Furniture
233,US-2017-100930,04/07/17,FUR-TA-10003473,620.6145,CS-12400,Christopher Schild,South,Furniture
234,US-2017-100930,04/07/17,OFF-BI-10001679,5.328,CS-12400,Christopher Schild,South,Office Supplies
235,US-2017-100930,04/07/17,FUR-FU-10004017,258.072,CS-12400,Christopher Schild,South,Furniture
236,US-2017-100930,04/07/17,TEC-AC-10003832,617.976,CS-12400,Christopher Schild,South,Technology
237,CA-2017-160514,11/12/17,OFF-PA-10002479,10.56,DB-13120,David Bremer,West,Office Supplies
238,CA-2016-157749,06/04/16,OFF-PA-10003349,25.92,KL-16645,Ken Lonsdale,Central,Office Supplies
239,CA-2016-157749,06/04/16,FUR-FU-10000576,419.68,KL-16645,Ken Lonsdale,Central,Furniture
240,CA-2016-157749,06/04/16,FUR-FU-10004351,11.688,KL-16645,Ken Lonsdale,Central,Furniture
241,CA-2016-157749,06/04/16,TEC-PH-10000011,31.984,KL-16645,Ken Lonsdale,Central,Technology
242,CA-2016-157749,06/04/16,FUR-TA-10002607,177.225,KL-16645,Ken Lonsdale,Central,Furniture
243,CA-2016-157749,06/04/16,FUR-FU-10002505,4.044,KL-16645,Ken Lonsdale,Central,Furniture
244,CA-2016-157749,06/04/16,OFF-AR-10004685,7.408,KL-16645,Ken Lonsdale,Central,Office Supplies
245,CA-2014-131926,06/01/14,FUR-CH-10004063,2001.86,DW-13480,Dianna Wilson,Central,Furniture
246,CA-2014-131926,06/01/14,OFF-ST-10002276,166.72,DW-13480,Dianna Wilson,Central,Office Supplies
247,CA-2014-131926,06/01/14,OFF-PA-10004082,47.88,DW-13480,Dianna Wilson,Central,Office Supplies
248,CA-2014-131926,06/01/14,OFF-AP-10002945,1503.25,DW-13480,Dianna Wilson,Central,Office Supplies
249,CA-2014-131926,06/01/14,OFF-PA-10000061,25.92,DW-13480,Dianna Wilson,Central,Office Supplies
250,CA-2016-154739,12/10/16,FUR-CH-10002965,321.568,LH-17155,Logan Haushalter,West,Furniture
251,CA-2016-145625,09/11/16,OFF-PA-10004569,7.61,KC-16540,Kelly Collister,West,Office Supplies
252,CA-2016-145625,09/11/16,TEC-AC-10003832,3347.37,KC-16540,Kelly Collister,West,Technology
253,CA-2016-146941,12/10/16,OFF-ST-10001228,80.58,DL-13315,Delfina Latchford,East,Office Supplies
254,CA-2016-146941,12/10/16,OFF-EN-10003296,361.92,DL-13315,Delfina Latchford,East,Office Supplies
